No;Name;Chapter;Episode;Year;Note
179;Charlotte Basans;0862;0832;2017;His name was revealed in One Piece Magazine Vol.5.
180;Charlotte Basskarte;0860;0830;2017;His name was first mentioned in Chapter 898, and he was identified by the captions of Episode 839.
181;Charlotte Bavarois;0888;0861;2017;
182;Charlotte Brownie;0845;0809;2018;
183;Charlotte Broyé;0864;0834;2017;Her name was revealed in the credits of Episode 835. Her full name was revealed in SBS Volume 90.
184;Charlotte Brûlée;0831;0791;2016;Real appearance was revealed in Chapter 832.
185;Charlotte Cabaletta;0845;0809;2016;His name was revealed in SBS Volume 85.
186;Charlotte Cadenza;0845;0809;2016;His name was revealed in SBS Volume 85.
187;Charlotte Chiboust;0894;0869;2018;His name was revealed in the credits of Episode 869.
188;Charlotte Chiffon;0825;0783;2016;Her name was revealed in Chapter 834.
189;Charlotte Cinnamon;0860;0828;2017;Her name was revealed in Chapter 892.
190;Charlotte Citron;0861;0828;2017;Her name was revealed in Chapter 892.
191;Charlotte Compo;0864;0834;2017;His name was revealed in Episode 846. His full name was revealed in One Piece Magazine Vol.5.
192;Charlotte Compote;0860;0830;2017;She was named in Chapter 861.
193;Charlotte Cornstarch;0865;0835;2017;Her name was revealed in One Piece Magazine Vol.4.
194;Charlotte Counter;0845;0809;2016;His name was revealed in SBS Volume 85.
195;Charlotte Cracker;0835;0796;2016;Real appearance revealed in Chapter 838.
196;Charlotte Custard;0862;0832;2017;Her full name was revealed in Episode 855.
197;Charlotte Dacquoise;0854;0822;2017;His name was revealed in the caption of Episode 834. His full name was revealed in SBS Volume 90.
198;Charlotte Daifuku;0861;0826;2017;
199;Charlotte De-Chat;0845;0809;2016;His name was revealed in One Piece Magazine Vol.5.
200;Charlotte Dolce;0845;0809;2016;
201;Charlotte Dosmarche;0861;0832;2017;His name was first mentioned in Chapter 898, and he was identified by the credits of Episode 835.
202;Charlotte Dragée;0845;0809;2016;
203;Charlotte Effilée;0864;0834;2017;Her name was revealed in One Piece Magazine Vol.4.
204;Charlotte Flampe;0891;0865;2018;
205;Charlotte Fuyumeg;0894;0869;2018;Her name was revealed in One Piece Magazine Vol.4.
206;Charlotte Gala;;;2017;His name was revealed in SBS Volume 85.
207;Charlotte Galette;0829;0789;2016;Her name was revealed in Chapter 843.
208;Charlotte Hachée;0871;;2017;She was officially introduced in One Piece Magazine Vol.4.
209;Charlotte Harumeg;0894;0869;2018;Her name was revealed in One Piece Magazine Vol.4.
210;Charlotte High-Fat;0862;0832;2017;His name was revealed in the captions of Episode 841. His full name was revealed in One Piece Magazine Vol.5.
211;Charlotte Joconde;0894;0869;2018;
212;Charlotte Joscarpone;0845;0809;2017;Her name was revealed in SBS Volume 86 and Chapter 880.
213;Charlotte Kanten;0862;0839;2017;His name was revealed in the captions of Episode 839. His full name was revealed in One Piece Magazine Vol.5.
214;Charlotte Katakuri;0860;0825;2017;He was first mentioned by a Whole Cake Island resident in Chapter 843.
215;Charlotte Kato;0854;0822;2017;His name was revealed in the credits of Episode 843. His full name was revealed in SBS Volume 90.
216;Charlotte Laurin;0864;0834;2017;His name was revealed in the captions of Episode 834. His full name was revealed in One Piece Magazine Vol.5.
217;Charlotte Linlin;0651;0571;2012;She was first mentioned by Kid in Chapter 581. Her real name revealed by Pappag in Chapter 610.
218;Charlotte Lola;0476;0370;2007;Her full name was revealed in Vivre Card.
219;Charlotte Maple;0897;;2018;Her name was revealed in One Piece Magazine Vol.4.
220;Charlotte Marble;0894;0869;2018;Her name was revealed in One Piece Magazine Vol.4.
221;Charlotte Marnier;0861;0831;2017;Her name was revealed in the credits of Episode 834. Her full name was revealed in SBS Volume 90.
222;Charlotte Mascarpone;0845;0809;2017;His name was revealed in SBS Volume 86 and Chapter 880.
223;Charlotte Mash;0865;0834;2017;Her name was revealed in One Piece Magazine Vol.4.
224;Charlotte Melise;0854;;2017;Her name was revealed in One Piece Magazine Vol.4.
225;Charlotte Mobile;0862;0832;2017;His name was revealed in the credits of Episode 833. His full name was revealed in One Piece Magazine Vol.5.
226;Charlotte Mondée;0854;0822;2017;Her name was revealed in One Piece Magazine Vol.4.
227;Charlotte Mont-d'Or;0829;0789;2016;His name was fully revealed in Chapter 843.
228;Charlotte Montb;0897;0873;2018;His name was revealed in One Piece Magazine Vol.5.
229;Charlotte Moscato;0829;0788;2016;
230;Charlotte Mozart;0862;0832;2017;Her name was revealed in One Piece Magazine Vol.4.
231;Charlotte Myukuru;0845;0809;2017;Her name was revealed in an anime promotion poster.
